feature_family,importance,share,share_pct
Macro Indicators,0.11473470151893982,0.7270939847330725,72.70939847330725
Contact Timing / Channel,0.027631374121421186,0.17510487801528796,17.510487801528797
Campaign Activity,0.006736211024104932,0.042688554122492686,4.268855412249269
Relationship History,0.006236084249257257,0.03951916278071394,3.951916278071394
Demographic Attributes,0.00246062609085349,0.01559342034843304,1.559342034843304
