Model,ROC-AUC,Brier,Precision@20%,Recall@20%,Lift@20%
Logistic Regression,0.800845779871692,0.07686997544418164,0.36672738312082576,0.6508620689655172,3.255495885936813
Gradient Boosting,0.8141766710693901,0.07431049878739228,0.37765634486945965,0.6702586206896551,3.352513975252811
